Using device: cuda
Train samples: 26
Val samples: 8
Input channels: 633
Epoch 107 | train loss=0.9342, train IoU=0.1956 | val loss=1.0006, val IoU=0.0000
Epoch 108 | train loss=0.9348, train IoU=0.1603 | val loss=1.0004, val IoU=0.0000
Epoch 109 | train loss=0.9336, train IoU=0.1338 | val loss=1.0004, val IoU=0.0000
Epoch 110 | train loss=0.9327, train IoU=0.1994 | val loss=1.0004, val IoU=0.0000
Epoch 111 | train loss=0.9321, train IoU=0.2043 | val loss=1.0004, val IoU=0.0000
Epoch 112 | train loss=0.9327, train IoU=0.1958 | val loss=1.0004, val IoU=0.0000
Epoch 113 | train loss=0.9319, train IoU=0.1376 | val loss=1.0004, val IoU=0.0000
Epoch 114 | train loss=0.9356, train IoU=0.1596 | val loss=1.0005, val IoU=0.0000
Epoch 115 | train loss=0.9347, train IoU=0.1552 | val loss=1.0004, val IoU=0.0000
Epoch 116 | train loss=0.9347, train IoU=0.1614 | val loss=1.0007, val IoU=0.0000
Epoch 117 | train loss=0.9362, train IoU=0.1496 | val loss=1.0004, val IoU=0.0000
Epoch 118 | train loss=0.9325, train IoU=0.2011 | val loss=1.0004, val IoU=0.0000
Epoch 119 | train loss=0.9316, train IoU=0.2041 | val loss=1.0004, val IoU=0.0000
Epoch 120 | train loss=0.9311, train IoU=0.2065 | val loss=1.0004, val IoU=0.0000
Epoch 121 | train loss=0.9308, train IoU=0.2075 | val loss=1.0003, val IoU=0.0000
Epoch 122 | train loss=0.9306, train IoU=0.2089 | val loss=1.0003, val IoU=0.0000
Epoch 123 | train loss=0.9305, train IoU=0.2086 | val loss=1.0003, val IoU=0.0000
Epoch 124 | train loss=0.9305, train IoU=0.2093 | val loss=1.0003, val IoU=0.0000
Epoch 125 | train loss=0.9308, train IoU=0.2062 | val loss=1.0003, val IoU=0.0000
Epoch 126 | train loss=0.9310, train IoU=0.2050 | val loss=1.0003, val IoU=0.0000
Epoch 127 | train loss=0.9316, train IoU=0.1682 | val loss=1.0003, val IoU=0.0000
Epoch 128 | train loss=0.9318, train IoU=0.2016 | val loss=1.0003, val IoU=0.0000
Epoch 129 | train loss=0.9313, train IoU=0.2044 | val loss=1.0003, val IoU=0.0000
Epoch 130 | train loss=0.9304, train IoU=0.1717 | val loss=1.0003, val IoU=0.0000
Epoch 131 | train loss=0.9306, train IoU=0.2083 | val loss=1.0003, val IoU=0.0000
Epoch 132 | train loss=0.9309, train IoU=0.2037 | val loss=1.0003, val IoU=0.0000
Epoch 133 | train loss=0.9315, train IoU=0.1702 | val loss=1.0003, val IoU=0.0000
Epoch 134 | train loss=0.9345, train IoU=0.1896 | val loss=1.0003, val IoU=0.0000
